Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
1500000US220710017441,2.21E+11,"Block Group 1, Census Tract 17.44, Orleans Parish, Louisiana",610,88,489,106,121,70
1500000US220710017442,2.21E+11,"Block Group 2, Census Tract 17.44, Orleans Parish, Louisiana",664,113,493,139,171,95
1500000US220710017443,2.21E+11,"Block Group 3, Census Tract 17.44, Orleans Parish, Louisiana",427,97,427,97,0,12
1500000US220710017451,2.21E+11,"Block Group 1, Census Tract 17.45, Orleans Parish, Louisiana",1057,94,930,106,127,79
1500000US220710017452,2.21E+11,"Block Group 2, Census Tract 17.45, Orleans Parish, Louisiana",441,81,409,79,32,36
1500000US220710017461,2.21E+11,"Block Group 1, Census Tract 17.46, Orleans Parish, Louisiana",563,116,482,126,81,70
1500000US220710017462,2.21E+11,"Block Group 2, Census Tract 17.46, Orleans Parish, Louisiana",604,115,578,116,26,43
1500000US220710017463,2.21E+11,"Block Group 3, Census Tract 17.46, Orleans Parish, Louisiana",713,134,563,131,150,85
1500000US220710017471,2.21E+11,"Block Group 1, Census Tract 17.47, Orleans Parish, Louisiana",957,97,847,104,110,71
1500000US220710017472,2.21E+11,"Block Group 2, Census Tract 17.47, Orleans Parish, Louisiana",564,93,425,90,139,73
1500000US220710017481,2.21E+11,"Block Group 1, Census Tract 17.48, Orleans Parish, Louisiana",400,91,374,84,26,40
1500000US220710017482,2.21E+11,"Block Group 2, Census Tract 17.48, Orleans Parish, Louisiana",441,100,409,98,32,36
1500000US220710017483,2.21E+11,"Block Group 3, Census Tract 17.48, Orleans Parish, Louisiana",552,98,445,101,107,67
1500000US220710017484,2.21E+11,"Block Group 4, Census Tract 17.48, Orleans Parish, Louisiana",345,79,273,88,72,65
1500000US220710017491,2.21E+11,"Block Group 1, Census Tract 17.49, Orleans Parish, Louisiana",369,69,369,69,0,12
1500000US220710017492,2.21E+11,"Block Group 2, Census Tract 17.49, Orleans Parish, Louisiana",612,69,471,78,141,60
1500000US220710017501,2.21E+11,"Block Group 1, Census Tract 17.50, Orleans Parish, Louisiana",495,93,397,89,98,53
1500000US220710017502,2.21E+11,"Block Group 2, Census Tract 17.50, Orleans Parish, Louisiana",601,107,322,87,279,79
1500000US220710017503,2.21E+11,"Block Group 3, Census Tract 17.50, Orleans Parish, Louisiana",476,79,434,93,42,49
1500000US220710017511,2.21E+11,"Block Group 1, Census Tract 17.51, Orleans Parish, Louisiana",401,48,268,45,133,50
1500000US220710018001,2.21E+11,"Block Group 1, Census Tract 18, Orleans Parish, Louisiana",555,77,418,75,137,71
1500000US220710018002,2.21E+11,"Block Group 2, Census Tract 18, Orleans Parish, Louisiana",347,79,282,65,65,65
1500000US220710019001,2.21E+11,"Block Group 1, Census Tract 19, Orleans Parish, Louisiana",231,70,138,51,93,54
1500000US220710019002,2.21E+11,"Block Group 2, Census Tract 19, Orleans Parish, Louisiana",361,59,261,58,100,51
1500000US220710019003,2.21E+11,"Block Group 3, Census Tract 19, Orleans Parish, Louisiana",307,72,245,70,62,38
1500000US220710020001,2.21E+11,"Block Group 1, Census Tract 20, Orleans Parish, Louisiana",271,72,212,63,59,43
1500000US220710020002,2.21E+11,"Block Group 2, Census Tract 20, Orleans Parish, Louisiana",253,71,197,65,56,35
1500000US220710020003,2.21E+11,"Block Group 3, Census Tract 20, Orleans Parish, Louisiana",131,63,107,46,24,38
1500000US220710021001,2.21E+11,"Block Group 1, Census Tract 21, Orleans Parish, Louisiana",208,60,158,57,50,32
1500000US220710021002,2.21E+11,"Block Group 2, Census Tract 21, Orleans Parish, Louisiana",270,54,209,47,61,47
1500000US220710022001,2.21E+11,"Block Group 1, Census Tract 22, Orleans Parish, Louisiana",159,53,125,44,34,34
