year,exporter,expAddress,exporterCity,quant,units,importer,impAddress,impCity,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,1880,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,1612053,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,253523,kg,CLEAN HARBORS INC,2258 RIVER ROAD,LONDON,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,1466250,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,32 BASK ROAD,GLENMONT,56120,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,7218526,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,113056,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,199336,kg,CLEAN HARBORS INC,2258 RIVER ROAD,LONDON,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,405,kg,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,568,kg,CLEAN HARBORS INC,1829 ALLANPORT ROAD,THOROLD,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,1076088,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,141390,kg,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,99938,l,CLEAN HARBORS INC,2258 RIVER ROAD,LONDON,,
2006,CLEAN HARBORS INC,32 BASK ROAD,GLENMONT,6864,l,CLEAN HARBORS INC,R.R #1 4090 TELFER ROAD,CORUNNA,,
2006,CLEAN HARBORS INC,4475 SOUTH DORT HIGHWAY,BURTON,58056,kg,CLEAN HARBORS INC,551 AVONHEAD ROAD,MISSISSAUGA,,
