Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With other types of income,Margin of Error; Total: - With other types of income,Estimate; Total: - No other types of income,Margin of Error; Total: - No other types of income
1500000US220710025012,2.2071E+11,"Block Group 2, Census Tract 25.01, Orleans Parish, Louisiana",161,52,14,22,147,47
1500000US220710025013,2.2071E+11,"Block Group 3, Census Tract 25.01, Orleans Parish, Louisiana",105,41,17,22,88,34
1500000US220710025014,2.2071E+11,"Block Group 4, Census Tract 25.01, Orleans Parish, Louisiana",130,37,17,15,113,38
1500000US220710025021,2.2071E+11,"Block Group 1, Census Tract 25.02, Orleans Parish, Louisiana",320,67,57,47,263,69
1500000US220710025022,2.2071E+11,"Block Group 2, Census Tract 25.02, Orleans Parish, Louisiana",179,56,0,12,179,56
1500000US220710025023,2.2071E+11,"Block Group 3, Census Tract 25.02, Orleans Parish, Louisiana",142,52,10,11,132,50
1500000US220710025024,2.2071E+11,"Block Group 4, Census Tract 25.02, Orleans Parish, Louisiana",171,48,13,15,158,46
1500000US220710025031,2.2071E+11,"Block Group 1, Census Tract 25.03, Orleans Parish, Louisiana",150,45,12,15,138,45
1500000US220710025032,2.2071E+11,"Block Group 2, Census Tract 25.03, Orleans Parish, Louisiana",377,82,45,33,332,81
1500000US220710025033,2.2071E+11,"Block Group 3, Census Tract 25.03, Orleans Parish, Louisiana",281,63,13,16,268,62
1500000US220710025041,2.2071E+11,"Block Group 1, Census Tract 25.04, Orleans Parish, Louisiana",191,57,41,35,150,51
1500000US220710025042,2.2071E+11,"Block Group 2, Census Tract 25.04, Orleans Parish, Louisiana",328,59,29,21,299,59
1500000US220710025043,2.2071E+11,"Block Group 3, Census Tract 25.04, Orleans Parish, Louisiana",181,46,18,16,163,44
1500000US220710025044,2.2071E+11,"Block Group 4, Census Tract 25.04, Orleans Parish, Louisiana",229,53,32,28,197,53
1500000US220710026001,2.2071E+11,"Block Group 1, Census Tract 26, Orleans Parish, Louisiana",450,92,41,44,409,90
1500000US220710026002,2.2071E+11,"Block Group 2, Census Tract 26, Orleans Parish, Louisiana",528,108,68,44,460,113
1500000US220710027001,2.2071E+11,"Block Group 1, Census Tract 27, Orleans Parish, Louisiana",205,60,5,7,200,60
1500000US220710027002,2.2071E+11,"Block Group 2, Census Tract 27, Orleans Parish, Louisiana",261,69,16,20,245,69
1500000US220710027003,2.2071E+11,"Block Group 3, Census Tract 27, Orleans Parish, Louisiana",149,54,0,12,149,54
1500000US220710028001,2.2071E+11,"Block Group 1, Census Tract 28, Orleans Parish, Louisiana",170,43,0,12,170,43
1500000US220710028002,2.2071E+11,"Block Group 2, Census Tract 28, Orleans Parish, Louisiana",269,62,31,24,238,64
1500000US220710028003,2.2071E+11,"Block Group 3, Census Tract 28, Orleans Parish, Louisiana",202,61,15,24,187,62
1500000US220710029001,2.2071E+11,"Block Group 1, Census Tract 29, Orleans Parish, Louisiana",209,64,35,31,174,65
1500000US220710029002,2.2071E+11,"Block Group 2, Census Tract 29, Orleans Parish, Louisiana",147,61,7,11,140,60
1500000US220710029003,2.2071E+11,"Block Group 3, Census Tract 29, Orleans Parish, Louisiana",208,84,18,16,190,83
1500000US220710030001,2.2071E+11,"Block Group 1, Census Tract 30, Orleans Parish, Louisiana",213,58,10,15,203,55
1500000US220710030002,2.2071E+11,"Block Group 2, Census Tract 30, Orleans Parish, Louisiana",268,65,13,21,255,61
1500000US220710031001,2.2071E+11,"Block Group 1, Census Tract 31, Orleans Parish, Louisiana",147,67,12,12,135,65
1500000US220710031002,2.2071E+11,"Block Group 2, Census Tract 31, Orleans Parish, Louisiana",303,75,12,14,291,72
1500000US220710033011,2.2071E+11,"Block Group 1, Census Tract 33.01, Orleans Parish, Louisiana",300,57,54,27,246,52
1500000US220710033012,2.2071E+11,"Block Group 2, Census Tract 33.01, Orleans Parish, Louisiana",252,72,0,12,252,72
1500000US220710033013,2.2071E+11,"Block Group 3, Census Tract 33.01, Orleans Parish, Louisiana",129,39,4,8,125,39
1500000US220710033021,2.2071E+11,"Block Group 1, Census Tract 33.02, Orleans Parish, Louisiana",231,70,33,29,198,73
1500000US220710033022,2.2071E+11,"Block Group 2, Census Tract 33.02, Orleans Parish, Louisiana",398,78,6,11,392,80
1500000US220710033023,2.2071E+11,"Block Group 3, Census Tract 33.02, Orleans Parish, Louisiana",371,79,48,41,323,85
1500000US220710033024,2.2071E+11,"Block Group 4, Census Tract 33.02, Orleans Parish, Louisiana",214,64,0,12,214,64
