Id,Year,Total,White,Black or African American,American Indian or Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Some other race,Two or more races
1500000US220710112002,2014,981,460,415,6,51,0,145,0,49
1500000US220710114001,2014,947,902,6,0,18,0,37,0,21
1500000US220710114002,2014,886,847,30,0,1,0,22,8,0
1500000US220710115001,2014,545,545,0,0,0,0,37,0,0
1500000US220710115002,2014,802,700,69,0,13,0,59,0,20
1500000US220710116001,2014,704,635,0,0,32,0,9,0,37
1500000US220710116002,2014,738,650,42,0,36,8,2,0,2
1500000US220710117001,2014,514,450,0,0,0,0,23,0,64
1500000US220710117002,2014,459,436,0,0,23,0,0,0,0
1500000US220710117003,2014,648,633,0,0,15,0,19,0,0
1500000US220710117004,2014,884,870,14,0,0,0,83,0,0
1500000US220710119001,2014,569,522,30,0,9,0,20,0,8
1500000US220710119002,2014,775,705,21,0,37,0,89,8,4
1500000US220710119003,2014,538,473,65,0,0,0,23,0,0
1500000US220710120001,2014,977,850,73,14,20,0,70,10,10
1500000US220710120002,2014,542,475,39,0,0,0,89,5,23
1500000US220710121011,2014,1121,904,67,0,60,0,192,5,85
1500000US220710121012,2014,2227,1817,119,0,181,21,61,0,89
1500000US220710121021,2014,1908,1457,245,11,120,0,121,0,75
1500000US220710121022,2014,1550,1009,325,0,41,0,217,20,155
1500000US220710121023,2014,716,620,46,0,11,0,79,14,25
1500000US220710122001,2014,1289,956,195,25,13,0,138,59,41
1500000US220710122002,2014,1037,986,33,0,18,0,61,0,0
1500000US220710123001,2014,477,27,450,0,0,0,10,0,0
1500000US220710123002,2014,648,314,254,0,0,0,89,23,57
1500000US220710123003,2014,898,648,229,0,0,0,68,8,13
1500000US220710124001,2014,640,174,432,0,8,0,41,14,12
1500000US220710124002,2014,1110,736,362,0,0,0,52,0,12
1500000US220710125001,2014,448,379,16,0,41,0,38,0,12
1500000US220710125002,2014,1074,669,274,4,121,0,81,0,6
1500000US220710126001,2014,634,550,58,0,20,0,28,0,6
1500000US220710126002,2014,658,491,76,8,55,0,19,0,28
1500000US220710126003,2014,588,536,0,0,24,0,5,7,21
1500000US220710127001,2014,657,479,157,9,0,0,109,0,12
1500000US220710127002,2014,482,317,165,0,0,0,6,0,0
1500000US220710127003,2014,554,340,214,0,0,0,0,0,0
1500000US220710127004,2014,531,508,11,0,0,0,25,12,0
1500000US220710128001,2014,727,436,230,0,32,0,4,14,15
1500000US220710128002,2014,774,575,86,0,77,0,46,0,36
1500000US220710128003,2014,839,636,126,12,23,0,92,12,30
1500000US220710129001,2014,842,651,109,0,22,0,25,49,11
1500000US220710129002,2014,568,211,284,0,53,0,9,10,10
1500000US220710130001,2014,533,239,287,0,7,0,0,0,0
1500000US220710130002,2014,824,259,552,0,0,0,6,13,0
1500000US220710130003,2014,485,286,199,0,0,0,0,0,0
1500000US220710131001,2014,334,13,321,0,0,0,13,0,0
1500000US220710131002,2014,353,77,276,0,0,0,41,0,0
