id,USExporterSiteName,US Exporter Site Street Address,US Exporter Site City,US Exporter Site State,US Exporter Site Zip Code,latitude,longitude
CTD981213101,"QUALITY ROLLING & DEBURRING CO., INC.",135 SOUTH MAIN STREET,THOMASTON,CT,6787,41.6687546,-73.0763855
CTD001145671,THE BRASS PLATING COMPANY,82 OLD WINDSOR ROAD,BLOOMFIELD,CT,6002,41.8611536,-72.6939462
ILD005087630,UNITED REFINING,3700 N. RUNGE AVENUE,FRANKLIN PARK,IL,60131,41.944702,-87.911033
MAD004993275,"VALENTINE PLATING COMPANY, INC.",155 ALLSTON AVENUE,WEST SPRINGFIELD,MA,1089,42.0945969,-72.6221466
MAD001115609,COLUMBIA MFG. INC.,ONE CYCLE STREET,WESTFIELD,MA,1085,42.1113709,-72.7413066
MID005320031,AJAX METAL PROCESSING,4651 BELLEVUE AVENUE,DETROIT,MI,48207,42.3689823,-83.0219141
OHD004236022,SMITH ELECTROCHEMICAL COMPANY,5936 CARTHAGE COURT,CINCINNATI,OH,45212,39.1804339,-84.4542734
PAD069799419,SHARRETTS PLATING COMPANY INC,3315 CONNELLY ROAD,EMIGSVILLE,PA,17318,40.0195194,-76.720015
NYD072366453,ACTION ANODIZING AND PLATING,33 DIXON AVENUE,CORTAGUE,NY,11726,40.684757,-73.405479
NJD002445500,AUTOMATIC ELECTRO-PLATING CORP.,185 FOUNDRY STREET,NEWARK,NJ,07105-4208,40.7266922,-74.1327362
NYR000122754,T&M PLATING,357 WEST 36TH STREET,NEW YORK,NY,10018,40.7541952,-73.9940961
NYR000027169,"CREATIVE BATH PRODUCTS, INC.",250 CREATIVE DRIVE,CENTRAL ISLIP,NY,11722,40.7720146,-73.2046738
NJD986595064,ALCARO & ALCARO PLATING,112 PINE STREET,MONTCLAIR,NJ,7042,40.8120499,-74.2078857
NJD001252634,IMPERIAL ELECTROPLATING CORP,52 PARK AVENUE,LYNDHURST,NJ,7071,40.8200736,-74.1229018
NJD002394955,CRAMER PLATING,4 HOYT LANE,BUTTZVILLE,NJ,7829,40.8333821,-75.0071825
NJR000021667,"RENNIE MFG AND METAL FINISHING CO., INC.",12-14 RENNIE PLACE,LODI,NJ,7644,40.8774414,-74.0841293
NJD001717040,C&C METAL PRODUCTS,456 NORDHOFF PLACE,ENGLEWOOD,NJ,7631,40.8807564,-73.9857025
NJR000022442,AMERICAN METALS RECOVERY CORP.,ONE JASPER STREET,PATERSON,NJ,7522,40.9196037,-74.1806645
NJD986596245,"SUN METAL FINISHING, INC.",57 WOOD STREET,PATERSON,NJ,7524,40.9320378,-74.1642185
NYD000707901,IBM,2070 ROUTE 52,HOPEWELL JUNCTION,NY,12533-6531,41.5391045,-73.8213577
NYD002223287,SURFACE FINISH TECHNOLOGIES,215 JUDSON STREET,ELMIRA,NY,14901,42.0940029,-76.7912156
NYD002240240,"INDUSTRIAL ELECTROPLATERS, INC.",172 STATE STREET,BINGHAMTON,NY,13901,42.1008835,-75.9116287
NYD002241982,HADCO CORPORATION,1200 TAYLOR ROAD,OWEGO,NY,13827,42.1053755,-76.2285385
NYD080460215,OAK MITSUI INC,80 FIRST STREET,HOOSICK FALLS,NY,12090,42.90205,-73.3551636
NYD002227973,"CROUSE-HINDS DIVISION, COOPER INDUSTRIES,  INC.",WOLF & 7TH NORTH STREETS,SYRACUSE,NY,13208,43.0816801,-76.1561503
VTD001075894,GENERAL ELECTRIC,270 WINDCREST ROAD,NORTH CLARENDON,VT,5759,43.576783,-72.9591054
VTD002085108,GENERAL ELECTRIC,210 COLUMBIAN AVENUE,RUTLAND,VT,5701,43.6065938,-72.9930541
ORD049376189,TYCO ELECTRONICS/PCG/DALLAS,1270 SE MONMOUTH CUTOFF ROAD,DALLAS,TX,97338,32.7781487,-96.7954025
CTP000024519,SOMERS PLATINF SUPERFUND REMOVAL SITE - EPA REGION 1,58-60 SPRINGFIELD ROAD,SOMERS,CT,6071,42.0051117,-72.4546585
NYD002115152,"JAMESTOWN ELECTRO PLATING WORKS, INC.",105 WATER STREET,JAMESTOWN,NY,14701,42.0946579,-79.2280731
OHD986998474,TRUTEC INDUSTRIES,4700 GATEWAY BOULEVARD,SPRINGFIELD,OH,45502,39.9079933,-83.7235413
MAD985290980,WAKEFIELD ENGINEERING,132 SYKES ROAD,FALL RIVER,MA,2720,41.7452774,-71.1119919
WAD009248295,"U.S. ARMY CORP OF ENGINEERS, SEATTLE DISTRICT","5350 CREOSOTE PLACE, N.E.",BAINGRIDGE ISLAND,WA,98110,47.6182594,-122.5001755
NJD002142388,AKZO NOBEL COATINGS INC.,100 BELMONT DRIVE,SOMERSET,NJ,8873,40.5433273,-74.5384064
NJ0001900281,"USEPA REGION 2, FEDERAL CREOSOTE SUPERFUND SITE",26 RUSTIC MALL,MANVILLE,NJ,8835,40.5439905,-74.5843618
CAD009108705,CONOCOPHILLIP - SAN FRANCISCO REFINERY AT RODEO,1380 SAN PABLO AVENUE,RODEO,CA,94572,38.0486641,-122.2593307
WAD009275082,TESORO REFINING AND MARKETING COMPANY,10200 MARCH POINT ROAD,ANACORTES,WA,98221,48.4591377,-122.5263984
WAD009250366,PHILLIPS 66 CO - FERNDALE REFINERY,3901 UNICK ROAD,FERNDALE,WA,98248,48.8286324,-122.6881332
OHD005046511,SUNOCO INC - TOLEDO REFINERY,1819 WOODVILLE ROAD,OREGON,OH,43616,41.628812,-83.5052998
WVD005005509,BAYER CROPSCIENCE,ROUTE 25 AND INTERSTATE 64,INSTITUTE,WV,25112,38.3835907,-81.7656937
NYD002232304,ALCOA INC.,P.O. BOX 150 PARK AVENUE EAST,MASSENA,NY,13662,44.9380035,-74.8881226
PAD002105179,UNITED REFINING,15 BRADLEY STREET,WARREN,PA,16365,41.8297222,-79.1242091
IND044908663,"COUNTRYMARK COOPERATIVE, INC.",1 LEXAN LANE,MT. VERNON,IN,47620-9364,37.9244433,-87.9117943
CAD982361404,TAMCO,12459 ARROW HIGHWAY,RANCHO CUCAMONGA,CA,91739,34.0989829,-117.5328306
GAD030059182,BIRMINGAM SOUTHEAST LLC,"384 OLD GRASSDALE ROAD, NE",CARTERSVILLE,GA,30121,34.2418213,-84.7977524
ARD091691261,ARKANSAS STEEL ASSOCIATES,2803 VAN DYKE ROAD,NEWPORT,AR,72112,35.6457149,-91.2468591
COD007057961,"CF&I STEEL, L.P.",2100 SOUTH FREEWAY,PUEBLO,CO,81004,38.2314301,-104.6127472
