longitude,latitude,stop_id,title,stop_lat,stop_lon,stoplatnum,stoplonnum,rr_name,stop_desc,url
-73.70480347,40.66149902,87,Valley Stream,40.66151,-73.70476,40.6615,-73.7048,Long Island Railroad,,http://www.mta.info/lirr
-73.854665,40.905424,,Wakefield,,,0,0,Metro-North Railroad,61,http://www.mta.info/mnr
-73.50900269,40.67300034,111,Wantagh,40.67298,-73.50896,40.673,-73.509,Long Island Railroad,,http://www.mta.info/lirr
-73.563583,41.821579,,Wassaic,,,0,0,Metro-North Railroad,177,http://www.mta.info/mnr
-73.046126,41.552728,,Waterbury,,,0,0,Metro-North Railroad,172,http://www.mta.info/mnr
-73.64160156,40.70199966,92,West Hempstead,40.70195,-73.64164,40.702,-73.6416,Long Island Railroad,,http://www.mta.info/lirr
-73.58589935,40.7533989,55,Westbury,40.75345,-73.58586,40.7534,-73.5859,Long Island Railroad,,http://www.mta.info/lirr
-72.65029907,40.83029938,130,Westhampton,40.8303,-72.65032,40.8303,-72.6503,Long Island Railroad,,http://www.mta.info/lirr
-73.371413,41.118928,,Westport,,,0,0,Metro-North Railroad,134,http://www.mta.info/mnr
-73.68119812,40.66839981,88,Westwood,40.66836,-73.68121,40.6684,-73.6812,Long Island Railroad,,http://www.mta.info/lirr
-73.775208,41.032589,,White Plains,,,0,0,Metro-North Railroad,74,http://www.mta.info/mnr
-73.871064,40.878569,,Williams Bridge,,,0,0,Metro-North Railroad,58,http://www.mta.info/mnr
-73.432434,41.196202,,Wilton,,,0,0,Metro-North Railroad,160,http://www.mta.info/mnr
-73.862916,40.895361,,Woodlawn,,,0,0,Metro-North Railroad,59,http://www.mta.info/mnr
-73.71369934,40.63130188,95,Woodmere,40.63133,-73.71371,40.6313,-73.7137,Long Island Railroad,,http://www.mta.info/lirr
-73.90299988,40.74580002,9,Woodside,40.74584,-73.90297,40.7458,-73.903,Long Island Railroad,,http://www.mta.info/lirr
-73.35810089,40.75479889,71,Wyandanch,40.75479,-73.35806,40.7548,-73.3581,Long Island Railroad,,http://www.mta.info/lirr
-73.9299,40.8253,,Yankee E153 St.,,,0,0,Metro-North Railroad,622,http://www.mta.info/mnr
-72.91590118,40.82559967,78,Yaphank,40.8256,-72.91588,40.8256,-72.9159,Long Island Railroad,,http://www.mta.info/lirr
-73.902668,40.935795,,Yonkers,,,0,0,Metro-North Railroad,18,http://www.mta.info/mnr
