GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710017203,220710017203,"Block Group 3, Census Tract 17.20, Orleans Parish, Louisiana",855,268,12,20,843,271,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017204,220710017204,"Block Group 4, Census Tract 17.20, Orleans Parish, Louisiana",933,343,20,31,902,345,0,12,11,17,0,12,0,12,0,12,0,12,0,12
1500000US220710017221,220710017221,"Block Group 1, Census Tract 17.22, Orleans Parish, Louisiana",376,182,0,12,376,182,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017222,220710017222,"Block Group 2, Census Tract 17.22, Orleans Parish, Louisiana",625,272,35,53,543,239,0,12,0,12,22,35,0,12,25,38,0,12,25,38
1500000US220710017223,220710017223,"Block Group 3, Census Tract 17.22, Orleans Parish, Louisiana",1090,405,0,12,1067,413,0,12,0,12,0,12,23,34,0,12,0,12,0,12
1500000US220710017224,220710017224,"Block Group 4, Census Tract 17.22, Orleans Parish, Louisiana",423,186,0,12,293,124,0,12,0,12,0,12,130,205,0,12,0,12,0,12
1500000US220710017225,220710017225,"Block Group 5, Census Tract 17.22, Orleans Parish, Louisiana",973,342,65,39,895,339,0,12,0,12,0,12,5,8,8,12,0,12,8,12
1500000US220710017226,220710017226,"Block Group 6, Census Tract 17.22, Orleans Parish, Louisiana",213,100,0,12,213,100,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017227,220710017227,"Block Group 7, Census Tract 17.22, Orleans Parish, Louisiana",181,105,0,12,181,105,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017231,220710017231,"Block Group 1, Census Tract 17.23, Orleans Parish, Louisiana",916,373,29,33,752,303,0,12,0,12,0,12,0,12,135,187,0,12,135,187
