Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710017242,2.21E+11,"Block Group 2, Census Tract 17.24, Orleans Parish, Louisiana",1083,343,69,76,936,351,0,12,61,90,0,12,0,12,17,28,0,12,17,28
1500000US220710017243,2.21E+11,"Block Group 3, Census Tract 17.24, Orleans Parish, Louisiana",1440,381,14,18,1299,345,0,12,88,137,0,12,0,12,39,43,39,43,0,12
1500000US220710017244,2.21E+11,"Block Group 4, Census Tract 17.24, Orleans Parish, Louisiana",1396,465,73,110,1263,432,0,12,0,12,0,12,60,91,0,12,0,12,0,12
1500000US220710017251,2.21E+11,"Block Group 1, Census Tract 17.25, Orleans Parish, Louisiana",1846,538,38,46,1552,522,0,12,0,12,0,12,194,286,62,78,15,24,47,75
1500000US220710017252,2.21E+11,"Block Group 2, Census Tract 17.25, Orleans Parish, Louisiana",1858,548,81,68,1777,539,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017253,2.21E+11,"Block Group 3, Census Tract 17.25, Orleans Parish, Louisiana",1658,499,6,13,1651,497,0,12,0,12,0,12,1,9,0,12,0,12,0,12
1500000US220710017254,2.21E+11,"Block Group 4, Census Tract 17.25, Orleans Parish, Louisiana",1586,454,43,103,1543,442,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017301,2.21E+11,"Block Group 1, Census Tract 17.30, Orleans Parish, Louisiana",902,193,33,38,855,197,0,12,2,14,0,12,0,12,12,17,0,12,12,17
1500000US220710017341,2.21E+11,"Block Group 1, Census Tract 17.34, Orleans Parish, Louisiana",835,207,715,194,0,12,0,12,81,63,0,12,8,13,31,33,0,12,31,33
1500000US220710017351,2.21E+11,"Block Group 1, Census Tract 17.35, Orleans Parish, Louisiana",1149,251,4,6,1131,253,0,12,0,12,0,12,0,12,14,18,10,14,4,8
1500000US220710017352,2.21E+11,"Block Group 2, Census Tract 17.35, Orleans Parish, Louisiana",820,196,59,90,761,202,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017361,2.21E+11,"Block Group 1, Census Tract 17.36, Orleans Parish, Louisiana",684,251,0,12,675,252,0,12,0,12,0,12,9,14,0,12,0,12,0,12
1500000US220710017362,2.21E+11,"Block Group 2, Census Tract 17.36, Orleans Parish, Louisiana",1388,274,83,89,1292,248,0,12,13,20,0,12,0,12,0,12,0,12,0,12
